"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12";"SW_Cherry_MX_1.00u_PCB";12;"SW_Push_45deg";;;
2;"SW13";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
3;"U1";"MCU_Seeed_ESP32C3";1;"MOUDLE-SEEEDUINO-XIAO";;;
